CPU,RAM(GB),GPU,vRAM(GB),Package,Target,Width (n),Depth,Shots,Probability n x |0>,Probability n x |1>,Time (s)
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,5,5,10000,0.493,0.507,0.014163017272949219
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,5,5,10000,0.5029,0.4971,0.013870716094970703
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,5,5,10000,0.5028,0.4972,0.01437997817993164
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,5,5,10000,0.5028,0.4972,0.01427316665649414
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,5,5,10000,0.5041,0.4959,0.014035463333129883
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,5,5,10000,0.5006,0.4994,0.014211654663085938
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,5,5,10000,0.5006,0.4994,0.014311790466308594
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,5,5,10000,0.4979,0.5021,0.013871192932128906
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,5,5,100000,0.5013,0.4987,0.025749921798706055
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,5,5,100000,0.4982,0.5018,0.024216175079345703
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,5,5,100000,0.49764,0.50236,0.024945974349975586
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,5,5,100000,0.49981,0.50019,0.02441716194152832
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,5,5,100000,0.49857,0.50143,0.02443528175354004
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,5,5,100000,0.50031,0.49969,0.025124549865722656
AMD Ryzen 9 9950X 16-Core Processor,123.43,NVIDIA RTX 6000 Ada Generation,47.99,CudaQ,nvidia:fp64,5,5,100000,0.50008,0.49992,0.02431321144104004
